policy,path_id,implementation_shortfall_bps,completion_error,max_constraint_violation
twap,0,18.26938440906295,0.0,0.0
twap,1,-8.110241167392616,0.0,0.0
twap,2,-10.1973647920711,0.0,0.0
twap,3,17.784625265081843,0.0,0.0
twap,4,19.341439537532093,0.0,0.0
twap,5,8.349251129126156,0.0,0.0
twap,6,-3.5280276761885196,0.0,0.0
twap,7,8.365688535402802,0.0,0.0
twap,8,-22.890052864222067,0.0,0.0
twap,9,1.446431625899212,0.0,0.0
twap,10,-5.759262838131338,0.0,0.0
twap,11,-3.4351660863787465,0.0,0.0
twap,12,-11.315183009559435,0.0,0.0
twap,13,2.0540133087051404,0.0,0.0
twap,14,-0.3047665452252903,0.0,0.0
twap,15,9.907840736813853,0.0,0.0
twap,16,-26.45093833674154,0.0,0.0
twap,17,1.287206518339648,0.0,0.0
twap,18,7.739425195593599,0.0,0.0
twap,19,-24.302354925042827,0.0,0.0
twap,20,-0.29327638719706944,0.0,0.0
twap,21,-6.886521683584998,0.0,0.0
twap,22,23.010306317297367,0.0,0.0
twap,23,-0.47805533595318334,0.0,0.0
twap,24,3.132125364100482,0.0,0.0
twap,25,-7.406834712950713,0.0,0.0
twap,26,-3.7259934268035635,0.0,0.0
twap,27,-16.72827916340187,0.0,0.0
twap,28,-8.825024438719282,0.0,0.0
twap,29,3.502669203606722,0.0,0.0
twap,30,17.53255040899975,0.0,0.0
twap,31,-5.484884165211028,0.0,0.0
twap,32,3.5503411640585307,0.0,0.0
twap,33,-25.182617509100208,0.0,0.0
twap,34,11.182167386609914,0.0,0.0
twap,35,-3.993220795269411,0.0,0.0
twap,36,2.861542755342233,0.0,0.0
twap,37,2.588112100476277,0.0,0.0
twap,38,2.2841882876849233,0.0,0.0
twap,39,0.9821408918854444,0.0,0.0
twap,40,-9.34273911813232,0.0,0.0
twap,41,6.036117901304842,0.0,0.0
twap,42,0.28619363880320897,0.0,0.0
twap,43,12.884215317638521,0.0,0.0
twap,44,1.8932651397041775,0.0,0.0
twap,45,14.234034604506183,0.0,0.0
twap,46,-6.474392695158029,0.0,0.0
twap,47,2.9271133171595474,0.0,0.0
twap,48,-16.991557703261,0.0,0.0
twap,49,-24.100189851172615,0.0,0.0
twap,50,3.022877611224277,0.0,0.0
twap,51,6.183929979662655,0.0,0.0
twap,52,6.823064528268729,0.0,0.0
twap,53,-2.6754589798539707,0.0,0.0
twap,54,4.34470791525467,0.0,0.0
twap,55,-5.386924604313574,0.0,0.0
twap,56,12.28827998161842,0.0,0.0
twap,57,13.910402054501539,0.0,0.0
twap,58,16.662695454279273,0.0,0.0
twap,59,15.152214722070207,0.0,0.0
twap,60,15.348187144370948,0.0,0.0
twap,61,5.893971834433678,0.0,0.0
twap,62,-1.2744419823063464,0.0,0.0
twap,63,-30.520084669799594,0.0,0.0
twap,64,-2.4940967487406382,0.0,0.0
twap,65,0.4498546426645631,0.0,0.0
twap,66,4.278221802846171,0.0,0.0
twap,67,10.3146113645907,0.0,0.0
twap,68,-6.45152294089598,0.0,0.0
twap,69,16.368740295119984,0.0,0.0
twap,70,-6.046877202707774,0.0,0.0
twap,71,21.037020382182757,0.0,0.0
twap,72,4.143288321089481,0.0,0.0
twap,73,8.702860097343285,0.0,0.0
twap,74,25.883013095664634,0.0,0.0
twap,75,-5.181962454872223,0.0,0.0
twap,76,-0.2425568462840566,0.0,0.0
twap,77,-14.003772279103732,0.0,0.0
twap,78,6.571095275074461,0.0,0.0
twap,79,3.281272694704096,0.0,0.0
twap,80,-13.052094450525352,0.0,0.0
twap,81,-4.520800792559419,0.0,0.0
twap,82,7.417039615887243,0.0,0.0
twap,83,-8.605980642048948,0.0,0.0
twap,84,5.427233790725068,0.0,0.0
twap,85,-4.757892420478734,0.0,0.0
twap,86,-16.465422832662878,0.0,0.0
twap,87,11.130452143537317,0.0,0.0
twap,88,8.47032186898209,0.0,0.0
twap,89,-15.829499160563506,0.0,0.0
twap,90,-20.30368776978204,0.0,0.0
twap,91,26.8646285097296,0.0,0.0
