scenario,risk_aversion,impact_multiplier,policy,paths,mean_is_bps,std_is_bps,var_95_bps,cvar_95_bps,mean_ci_low_bps,mean_ci_high_bps,max_completion_error,max_constraint_violation
low_risk_base_impact,0.02,1.0,regime_aware_mpc,150,0.3830073300702033,10.313501757278095,16.083553437233704,20.048814597904343,-1.1043686894501068,2.12626421159595,0.0,0.0
low_risk_base_impact,0.02,1.0,static_ac,150,0.4059780059170756,10.343821027852812,16.075455737090387,20.120141055495075,-1.3797438345019406,1.7977408835363702,0.0,0.0
base_case,0.08,1.0,regime_aware_mpc,150,0.44841891994775307,10.258499250640218,16.87254731429658,20.00244716300992,-1.047145781730122,2.1159706122200945,0.0,0.0
base_case,0.08,1.0,static_ac,150,0.451971655491577,10.262114969832712,16.892775172971685,20.002288838492433,-1.3342793368705428,1.8592648024699505,0.0,0.0
high_risk_base_impact,0.2,1.0,regime_aware_mpc,150,0.4679461616814958,10.279372089731977,17.203651319909927,19.997434238053074,-1.0208035185482043,2.1103015259055726,0.0,0.0
high_risk_base_impact,0.2,1.0,static_ac,150,0.4681433182381102,10.279453964653657,17.204245185386043,20.00003424092222,-1.3504325319500194,1.9062048043275739,0.0,0.0
base_risk_high_impact,0.08,1.5,regime_aware_mpc,150,0.9565917069240651,10.256409545116131,17.094947526977002,20.732052378918986,-0.5348634467147205,2.622902801808746,0.0,0.0
base_risk_high_impact,0.08,1.5,static_ac,150,0.9618152654619225,10.263180404017177,17.124012656503112,20.749176069650684,-0.7917755267547502,2.3641761484654844,0.0,0.0
