path_id,t,posterior_stress,regime_true,predicted_stress
0,1,0.09236032042952673,0,0
0,2,0.06463494741540661,0,0
0,3,0.004327915349590748,0,0
0,4,0.003929926880406561,0,0
0,5,0.13375769216856262,0,0
0,6,0.01151007512089068,0,0
0,7,0.027502517757545076,0,0
0,8,0.0014799066859473196,0,0
0,9,0.287456894729516,0,0
0,10,0.0036039458785352627,0,0
0,11,0.025399648909085845,0,0
0,12,0.0015970561287547173,0,0
0,13,0.015769016261264972,0,0
1,1,0.9924686303886983,1,1
1,2,0.9999637185350055,1,1
1,3,0.9973720572964286,1,1
1,4,0.23925535778077694,0,0
1,5,0.9760948189275614,1,1
1,6,0.8811885353123502,0,1
1,7,0.09526076772308152,0,0
1,8,0.005179295639892669,0,0
1,9,0.03958754555829685,0,0
1,10,0.001963594254496039,0,0
1,11,0.001169154066596935,0,0
1,12,0.09332520279159055,0,0
1,13,0.010852141314339644,0,0
2,1,0.007699889958366445,0,0
2,2,0.11254819968822954,0,0
2,3,0.01235995179761847,0,0
2,4,0.02863249974084352,0,0
2,5,0.5548559029023251,1,1
2,6,0.9730864106960191,1,1
2,7,0.9917800688208404,1,1
2,8,0.3141260136633848,1,0
2,9,0.978830388468656,1,1
2,10,0.9797337430691364,1,1
2,11,0.9999951779291516,1,1
2,12,0.9994406227895973,1,1
2,13,0.9950492801391516,1,1
3,1,0.04493601313882828,0,0
3,2,0.011908609861734176,0,0
3,3,0.07875435122432804,0,0
3,4,0.06549972814108479,0,0
3,5,0.030232785116681146,0,0
3,6,0.00962856826409872,0,0
3,7,0.001933506377312537,0,0
3,8,0.0026909723087931384,0,0
3,9,0.01169597001318952,0,0
3,10,0.02114862536228556,0,0
3,11,0.14620284154025417,0,0
3,12,0.009988007151522557,0,0
3,13,0.05438225049723582,0,0
4,1,0.1851574353944702,0,0
4,2,0.11717744132468973,0,0
4,3,0.019175205398336455,0,0
4,4,0.04246886087150148,0,0
4,5,0.015255921146354498,0,0
4,6,0.006041051708119166,0,0
4,7,0.019892033298639627,0,0
4,8,0.0017063826548981142,0,0
4,9,0.998990476219603,1,1
4,10,0.8426575969523968,1,1
4,11,0.47223442081749584,1,0
4,12,0.4872716115352227,1,0
4,13,0.023141311216530704,0,0
5,1,0.12107174185283176,0,0
5,2,0.7911142044359234,1,1
5,3,0.5937670760379722,1,1
5,4,0.998639353151718,1,1
5,5,0.22702959302733616,0,0
5,6,0.18116676052759953,0,0
5,7,0.005574293871643836,0,0
5,8,0.010161177053689848,0,0
5,9,0.0016583323276780752,0,0
5,10,0.05253601735697916,0,0
5,11,0.005369673518290256,0,0
5,12,0.0012442797964111348,0,0
5,13,0.011396586858485663,0,0
6,1,0.557306957182924,0,1
6,2,0.3301941409369328,0,0
6,3,0.9989620889473155,1,1
6,4,0.38002823177789086,0,0
6,5,0.03693488321378148,0,0
6,6,0.0664209245120127,0,0
6,7,0.003068780267299161,0,0
6,8,0.2255213900970278,0,0
6,9,0.015553884227996882,0,0
6,10,0.013705966699398891,0,0
6,11,0.0016384516912128283,0,0
6,12,0.02450957078668275,0,0
6,13,0.06981044163645253,0,0
7,1,0.1041696263184802,0,0
7,2,0.021760959954809915,0,0
7,3,0.003896116955793354,0,0
7,4,0.034259105422029396,0,0
7,5,0.04107675467334531,0,0
7,6,0.05723450387167887,0,0
7,7,0.0215541069042048,0,0
7,8,0.002347867429052618,0,0
7,9,0.005119720155821577,0,0
7,10,0.007658375427153868,0,0
7,11,0.0032018771422839074,0,0
7,12,0.0010669621853680083,0,0
7,13,0.11167605931528586,0,0
8,1,0.8388553671655029,1,1
8,2,0.9944710330320339,1,1
8,3,0.9988237382179359,1,1
8,4,0.9277975011019947,1,1
8,5,0.999999854326155,1,1
8,6,0.9989532802515686,1,1
8,7,0.9999999802534967,1,1
8,8,0.9774566557156993,1,1
8,9,0.45270645684657657,1,0
8,10,0.03959220002212961,0,0
8,11,0.00789519852630486,0,0
8,12,0.007758731898769394,0,0
8,13,0.009839727952484363,0,0
9,1,0.059510150708335145,0,0
9,2,0.014704859337304081,0,0
9,3,0.00046734945292104695,0,0
9,4,0.033597174881331626,0,0
9,5,0.09360924476450705,0,0
9,6,0.044525919973243705,0,0
9,7,0.006855494657816555,0,0
9,8,0.005331609308034851,0,0
9,9,0.0032015278543314615,0,0
9,10,0.017278580707954915,0,0
9,11,0.0016562590051702663,0,0
9,12,0.024870294553293718,0,0
9,13,0.0026892199430694724,0,0
10,1,0.9373081623168518,1,1
10,2,0.999775310881136,1,1
10,3,0.9911517634304589,1,1
10,4,0.9999794143835519,1,1
10,5,0.9998795122910379,1,1
10,6,0.9777420411797706,1,1
10,7,0.9808330689816414,1,1
10,8,0.1534981673853947,1,0
10,9,0.9991615934228378,1,1
10,10,0.9960739892744961,1,1
10,11,0.9999382372378403,1,1
10,12,0.9968640444877908,1,1
10,13,0.9353861477394214,1,1
11,1,0.018423048672840583,0,0
11,2,0.0018404538151589771,0,0
11,3,0.39404792313156817,0,0
11,4,0.04865387287092172,0,0
11,5,0.0031342691061222614,0,0
11,6,0.2844820307437588,0,0
11,7,0.4572634632083059,0,0
11,8,0.036905775455729456,0,0
11,9,0.14889957946699345,0,0
11,10,0.003590252155069746,0,0
11,11,0.0011171775063227348,0,0
11,12,0.03995346625390667,1,0
11,13,0.984499077979867,1,1
12,1,0.7774245693932833,1,1
12,2,0.7015938658842987,1,1
12,3,0.9746917595555,1,1
12,4,0.9985744656937547,1,1
12,5,0.3900752646451921,0,0
12,6,0.03187666481229527,0,0
12,7,0.008669647690791557,0,0
12,8,0.0007051146440814256,0,0
12,9,0.001225054363898382,0,0
12,10,0.0009935506155025367,0,0
12,11,0.0015103133326569852,0,0
12,12,0.008806432344761235,0,0
12,13,0.008169756118420548,0,0
13,1,0.44118228994369124,0,0
13,2,0.1617216808359276,0,0
13,3,0.0024446211354688142,0,0
13,4,0.928543507133297,1,1
13,5,0.9989392465089348,1,1
13,6,0.9868636980201536,1,1
13,7,0.9905877364948797,1,1
13,8,0.9999647373908411,1,1
13,9,0.9980744628498648,1,1
13,10,0.14382861316267156,0,0
13,11,0.03685636768977457,0,0
13,12,0.03540339969687201,0,0
13,13,0.0008723728306883893,0,0
14,1,0.01116349705064134,0,0
14,2,0.0042480713525856854,0,0
14,3,0.001411850938833991,0,0
14,4,0.0012101252366289136,0,0
14,5,0.005950747158625073,0,0
14,6,0.049736150338543,0,0
14,7,0.003198874750151347,0,0
14,8,0.023186549497766395,0,0
14,9,0.011718104076378114,0,0
14,10,0.0017370755142794363,0,0
14,11,0.011160669356798464,0,0
14,12,0.04127163684324133,0,0
14,13,0.016069594572346305,0,0
15,1,0.010426607934055105,0,0
15,2,0.15000642156191998,0,0
15,3,0.0030689776812009256,0,0
15,4,0.013797310131069818,0,0
15,5,0.0337049287823481,0,0
